,open,high,low,close,volume,Year,Month,Weekday,Day,rsi,sma_50,sma_200,macd,volatility
2012-03-19,5.41,5.42,5.24,5.25,412.0,2012,3,0,19,53.42972139077272,5.1842,,0.060806606364714355,0.17999999999999972
2012-03-20,5.24,5.37,4.83,4.83,415.0,2012,3,1,20,43.69967192677088,5.170800000000001,,0.028350907285524585,0.54
2012-03-21,4.82,4.97,4.79,4.79,279.0,2012,3,2,21,42.89842048388196,5.155,,-0.000591317432194316,0.17999999999999972
2012-03-22,4.9,4.96,4.9,4.96,9.0,2012,3,3,22,47.319366861846625,5.1482,,-0.009698857396990945,0.05999999999999961
2012-03-23,4.86,4.98,4.72,4.91,396.0,2012,3,4,23,46.18673148713938,5.1288,,-0.020712470105626934,0.2600000000000007
2012-03-24,4.73,4.89,4.6,4.78,393.0,2012,3,5,24,43.285692297769046,5.098800000000001,,-0.03947569977643184,0.29000000000000004
2012-03-25,4.72,4.83,4.62,4.83,191.0,2012,3,6,25,44.72378214867366,5.0694,,-0.04973776633018012,0.20999999999999996
2012-03-26,4.61,4.84,4.54,4.54,15.0,2012,3,0,26,38.60883436096125,5.041399999999999,,-0.08034493794545039,0.2999999999999998
2012-03-27,4.6,4.75,4.54,4.73,64.0,2012,3,1,27,44.01019835642474,5.024,,-0.08825260872156893,0.20999999999999996
2012-03-28,4.54,4.97,4.54,4.84,369.0,2012,3,2,28,46.92183536258727,5.0088,,-0.08466742076871014,0.4299999999999997
2012-03-29,4.75,4.95,4.72,4.93,418.0,2012,3,3,29,49.24736257124749,4.9936,,-0.07371415475699727,0.23000000000000043
2012-03-30,4.93,4.93,4.77,4.84,110.0,2012,3,4,30,47.02839786310397,4.973,,-0.07147197591868082,0.16000000000000014
2012-03-31,4.81,4.91,4.76,4.88,161.0,2012,3,5,31,48.146666801632186,4.9528,,-0.06570990445369063,0.15000000000000036
2012-04-01,4.9,4.92,4.89,4.9,158.0,2012,4,6,1,48.72947493812693,4.9332,,-0.058851188582786484,0.03000000000000025
2012-04-02,4.89,4.89,4.77,4.89,308.0,2012,4,0,2,48.436335068612095,4.921,,-0.05360460277415502,0.1200000000000001
2012-04-03,4.8,5.04,4.78,5.04,888.0,2012,4,1,3,53.003288382014404,4.908399999999999,,-0.03691733921725948,0.2599999999999998
2012-04-04,5.04,5.04,4.86,4.99,244.0,2012,4,2,4,51.37002582068436,4.8924,5.0108999999999995,-0.027411165898127976,0.17999999999999972
2012-04-05,4.92,5.01,4.86,5.01,305.0,2012,4,3,5,52.00707807779193,4.8948,4.98145,-0.018055489754670084,0.14999999999999947
2012-04-06,4.99,5.04,4.89,5.0,400.0,2012,4,4,6,51.64279795742871,4.901,4.9479999999999995,-0.011317504288944846,0.15000000000000036
2012-04-07,4.9,4.99,4.81,4.99,725.0,2012,4,5,7,51.25616063688314,4.9106,4.9144499999999995,-0.006707202237007159,0.1800000000000006
2012-04-08,4.94,4.94,4.7,4.7,228.0,2012,4,6,8,41.542746685442005,4.9112,4.87945,-0.02615261000558,0.2400000000000002
2012-04-09,4.8,4.8,4.69,4.76,177.0,2012,4,0,9,43.91106961174586,4.921799999999999,4.84475,-0.036303255864083894,0.10999999999999943
2012-04-10,4.7,4.85,4.7,4.75,158.0,2012,4,1,10,43.59406664239133,4.9292,4.816,-0.044640049561042616,0.14999999999999947
2012-04-11,4.75,4.87,4.75,4.8,314.0,2012,4,2,11,45.70466931839042,4.9364,4.79,-0.0466744030323234,0.1200000000000001
